,index,종류별,상황별,재료별,방법별,제목,url,조회수,셰프,인분,조리시간,난이도,재료,인트로,조리순서,해시태그
10,11,밥/죽/떡,일상,육류,끓이기,불고기 달걀 덮밥,https://www.10000recipe.com/recipe/1964242,"9,459",연두야,2,30분 이내,초급,"['불고기용 소고기 250g', '달걀 3개', '파 조금', '양파 1/2개', '팽이버섯 1팩', '쯔유 8큰술', '다시마물 500ml', '맛술 1.5큰술', '소금 1작은술', '후추 조금']",간단한 한 끼식사지만 정말 든든하고 맛나게 먹을수 있는 메뉴. 온가족이 함께 먹을 수 있는 메뉴라 더 마음에 들었던 불고기 달걀 덮밥 소개할께요~!,"['1. 양파는 얇게 파는 송송 썰어 준비해주세요.', '2. 달걀은 풀어주고,', '3. 국물 (쯔유, 다시마물, 맛술) 을 넣고 보글보글 끓여준뒤 양파를 넣고 2분가량 끓이다가', '4. 소고기를 넣고 끓여줍니다.', '5. 소고기가 어느정도 익었을 때 소금과 후추로 간을 한 뒤 풀어놓은 달걀을 넣고 파와 버섯을 넣어 마무리해주세요.', '6. 미리 떠놓은 밥 위에 완성된 국물 자작한 불고기를 밥 위에 올려주면 너무너무 맛있는 불고기달걀덮밥 완성!']","['완료기', '이유식', '불고기', '달걀', '불고기', '달걀', '덮밥', '덮밥', '소고기', '철분보충', '빈혈', '성장발육']"
11,12,밥/죽/떡,일상,육류,끓이기,웰빙식단. 자연식으로 차린 밥상,https://www.10000recipe.com/recipe/5939435,"26,140",이그림,,,,"['한돈앞다릿살 2근', '청국장 ', '생청국장쌈장 ', '진간장 ', '돼지고기 ', '채소 ', '땅콩조림 ', ' ', '표고버섯 ', '멸치가루 ', '새우가루 ', '마늘 ', '고춧가루 ', '소금 ', '청국장 ', '고추장 ', '들기름 ', ' ', '검정콩 ', '양파 ', '조선간장 5큰술', '물 4컵', '월계수잎 3장', '통후추 ', '양파 1개', '검정콩 3큰술']",건강한 밥상 이것이 웰빙식단! 자연에 가까운 밥상으로 차린 우리 집 건강 밥상이에요. 청국장을 띄워 표고버섯가루와 멸치가루 등을 넣어 빻은 것을 사용했고 돼지고기는 진간장과 설탕 없이 졸여 수육처럼 만들어 저녁상을 차렸어요.,"['1. 청국장을 빻을 때 천연조미료를 넣어준 것인데 쌈장 만들 때 이렇게 섞어 주면 감쪽같이 냄새도 없어요. 생청국장이 좋다고 하는데 어떻게 먹을까 고민하다 고추장 잘 먹는 우리집엔 딱이더군요.', '2. 진간장와 설탕없는 돼지고기 졸임은 돼지고기를 토막내어 무명실로 묶어주세요.', '3. 한돈 앞다릿살 2근, 조선간장 5큰술, 물 4컵, 월계수잎 3장, 통후추, 양파 1개, 검정콩 3큰술 한돈 앞다릿살을 2근을 간이 잘 배도록 4조각으로 나눠 무명실로 묶어주고 달군 팬에 노릇하게 하고 빠진 기름은 버리고 조림을 시작해요.', '4. 윤기나도록 조린 돼지고기를 썰어주세요. 뜨거울 때 썰어도 고기가 흐트러지지 않고 뜨거워서 더 맛있어요.', '5. 뚝배기에 청국장과 깍두기국물 3큰술, 배춧잎 약간 넣고 쌈채소 줄기도 같이 넣어 보글보글 약불로 끓여주세요. 작은 뚝배기는 처음부터 약불로 보글보글 시작해서 끓기 시작하면 두부넣고 잠시 후에 불을 꺼주시고요.']",
12,13,밥/죽/떡,일상,육류,끓이기,규동 만들기,https://www.10000recipe.com/recipe/2475554,"41,574",니코로빈,1,30분 이내,중급,"['쇠고기                                                                                불고기/샤브샤브/우삼겹 ', '다시마                                                                                7*7 ', '가쓰오부시 10g', '양파 큰거 1개', '물 300g', '맛술 4스푼', '청주 4스푼', '설탕 1스푼', '진간장 5.5~6스푼', '생강즙 5스푼']",오늘같은 주말에 ... 머리 박박 긁은면서 느즈막이 일어나 만들어 먹기에 좋아요,"['1. 우선 양파를 적당히 얇은 굵기로 채썰어 준비 합니다.', '2. 분량의 물에 다시마를 넣고 약불에서 약5분정도 끓인 후 건져 냅니다.', '3. 다시마를 건져낸 후 불을 끄고 준비 된 가쓰오부시를 넣어 약10분정도 내버려 두고 10분 후 체에 걸러 국물만 사용 합니다.', '4. 준비된 육수에 재료를 몽땅 투여 합니다.', '5. 중불에서 끓어 오르면 양파를 넣고, 양파가 투명해지면 고기를 넣고 끓여주세요']",
13,14,밥/죽/떡,일상,육류,끓이기,간단한 한그릇 하이라이스 만들기,https://www.10000recipe.com/recipe/4644263,"60,043",델리카토,1,30분 이내,아무나,"['감자 (중) 2개', '당근 1/2개', '브로콜리 2줌', '양파 (대) 1개', '돼지고기 280g', '하이라이스가루 160g', '물                                                                                가감 ', '오일 ', '후추 조금', '맛술 1']",간단한 한그릇요리 하이라이스 만드는 법입니다.,"['1. 야채들은 먹기좋은 크기로 자르고 돼지고기도 한입크기로 잘라서 준비해주세요.', '2. 달군 냄비에 오일을 조금 두른후 돼지고기와 후추, 맛술 1큰술을 넣고 달달 볶다가 감자를 넣어서 함께 볶아주세요. 당근은 설익은게 좋아서 나중에 넣었어요.', '3. 이제 물 1.2리터 정도를 넣고 끓여주세요.', '4. 그리고 하이라이스 가루도 물 한컵과 함께 잘 풀어주세요.', '5. 재료들이 끓어오르면 기름 걷어주시고 거품도 제거해주세요. 그리고 약불로 끓여줍니다.', '6. 재료들이 거의 익으면 하이라이스가루 푼것을 넣어주고 끓어오르면 당근, 브로콜리, 양파를 넣어서 살짝 익혀주면 완성입니다.']",
14,15,밥/죽/떡,일상,육류,끓이기,마리텔 이혜정 요리연구가의 '하이라이스' !! 만능카레활용!,https://www.10000recipe.com/recipe/6838297,"7,692",요리가좋아in독일,1,15분 이내,아무나,"['양파(중) 1개', '감자 ', '당근 ', '미니양배추 ', '만능카레 2국자', '케첩 1T', '돈까스소스 1T', '우스터소스 1T']","지난 마리텔에서 이혜정님이 선보인 만능카레를 활용한 초간단 하이라이스 레시피입니다. 소스를 맛있게 만들어 놓으니, 재료를 많이 넣지 않아도 편리하고 맛있게 한 끼를 먹을수 있네요 :) 이혜정님 레시피의 절반양 (1.5인분)의 레시피입니다.","['1. 재료를 준비해주세요. (방송에서는 양파 하나만 사용합니다.) 냉장고 자투리 재료들을 활용해봤어요.', '2. 채소들을 모두 얇게 썰어 준비합니다. (저처럼 감자와 당근을 사용하신다면 너무 두껍지 않게 썰어준비합니다)', '3. 팬에 올리브 오일을 두릅니다.', '4. 감자부터 넣고 투명해질 때까지 볶습니다.', '5. 감자가 어느정도 익으면 당근과 양파를 넣고 함께 볶습니다.', '6. 양파까지 어느정도 익으면 미리 만들어둔 만능카레2국자, 케첩과 돈가스소스, 우스터소스를 각 1스푼씩 넣어 잘 섞습니다.', '7. 소스를 한 번 데운다 생각하시고 재료들과 함께 잘 볶습니다. 보글 끓으면 요리 완성입니다.']","['마리텔', '마이리틀텔레비전', '이혜정', '만능카레', '하이라이스', '이혜정', '만능카레']"
15,16,밥/죽/떡,일상,육류,끓이기,간단하게 만드는 규동,https://www.10000recipe.com/recipe/6832224,"3,337",guha,3,30분 이내,초급,"['소고기 불고기감 200g', '국수장국 ', '간장 ', '양파 ', '계란 ', '대파 ']",아이들과 간단히 빨리 먹기위한 레시피,"['1. 불고기감소고기는 간장 2수저를 넣어 준비하고 야채는 먹기좋게 썰어주세요.', '2. 밥공기 2개 분량의 물을 넣고, 국시장국 5수저, 간장 1수저를 넣고 끓여줍니다.', '3. 야채와 마늘 반수저를 넣고 한소끔 끓인뒤에 소고기를 넣어서 소고기가 익힐정도로 끓여주고, 계란을 풀어서 넣어주세요.', '4. 마지막으로 소금을 넣어 간을 맞추고, 대파를 넣어 마무리~']",
16,17,밥/죽/떡,일상,육류,끓이기,춘장에 된장 추가! 구수한 짜장밥 레시피 :),https://www.10000recipe.com/recipe/6841521,"2,600",요리가좋아in독일,3,30분 이내,초급,"['다진 돼지고기 150g', '감자 2개', '양파(소) 2개', '당근 1/3개', '양배추 조금', '애호박 조금', '버섯 조금', '파 1대', '춘장 2T', '된장 1T', '설탕 1t', '간장 1T']",춘장의 양을 살짝 줄이고 된장을 넣어 풍미를 더 높여본 짜장밥 레시피입니다. 더 깊어진 맛과 향을 맛볼 수 있는 짜장밥 레시피로 온가족이 함께 즐겨보세요~!,"['1. 재료를 준비해주세요. 고기는 일반 돼지고기를 썰어서 사용하셔도 좋습니다.', '2. 재료들은 먹기좋은 크기로 썰어서 준비해주세요.', '3. 기름을 두른 냄비에 파를 넣고 향을 내며 볶습니다.', '4. 파를 볶던 냄비에 고기를 넣고 볶습니다.', '5. 고기 색이 변할때까지 볶아주다가 감자/ 당근부터 넣고 볶아줍니다.', '6. 감자가 투명해질 즈음, 양파/ 버섯/ 양배추를 넣고 볶습니다.', '7. 볶다가 설탕 1t을 넣고 재료들이 잘 어우러지도록 함께 볶아주세요. 설탕의 양은 취향에 맞게 가감하세요 :)', '8. 마지막으로 애호박까지 넣고 볶습니다.', '9. 볶던 재료에 춘장 2T 된장 1T을 넣어주세요.', '10. 재료들과 잘 섞어줍니다.', '11. 재료들을 충분히 잘 볶아준 뒤, 재료들이 잠길 정도로만 물을 붓고, 간장1T로 간을 해주세요.', '12. 소스가 끓는 동안, 짜장소스의 농도를 맞출 전분물을 준비합니다. (전분과 물의 비율은 1:1 혹은 1:1.5)', '13. 끓는 소스에 전분물을 조금씩 부어가며 농도를 맞춥니다.', '14. 이렇게 소스가 걸쭉해지면 간을 보고 부족한 간은 맞춰주세요. 밥 위에 소스를 얹어내면 짜장밥 완성입니다!']","['짜장밥', '짜장소스', '짜장밥만들기', '짜장', '된장짜장소스', '춘장']"
17,18,밥/죽/떡,일상,육류,끓이기,아기 돈까스덮밥 만들기 한그릇 유아식 메뉴,https://www.10000recipe.com/recipe/7040434,556,희망마이,1,30분 이내,아무나,"['돈까스 1장', '계란 1개', '양파 30g', '대파 20g', '육수 200ml', '간장 0.5T', '맛술 0.5T', '올리고당 0.5T']",편식 하는 아이를 위한 워킹맘표 한그릇! 일하는 엄마표 돈까스덮밥 소개해볼게요 ♥,"['1. 양파, 대파, 돈까스1장, 계란 이렇게 준비해주세요.파를 싫어한다면, 부추로 대체가능', '2. 돈까스는 기름에 튀겨줘도 되고 에어프라이어로 익혀줘도 좋아요.종이호일 , 에어프라이어', '3. 돈까스가 익히는동안 육수 200ml를 끓여주세요.냄비', '4. 맛술 반스푼 넣어주세요.계량스푼생략가능', '5. 올리고당 반스푼 넣어주세요.', '6. 간장 반스푼 넣어주세요.아기 간장으로 대체 가능 / 생략가능', '7. 육수에 양념들이 잘 섞이게 저어주세요.조리용스푼육수가 없다면 물로 넣고 양념을 조절해주세요.', '8. 양파는 채썰어주고 파는 송송 썰어주세요.도마 , 조리용나이프', '9. 계란 1개를 풀어서 계란물을 준비해주세요.볼', '10. 돈까스가 다 익었으면 먹기 좋은 크기로 잘라주세요.도마 , 조리용나이프', '11. 끓고 있는 양념육수에 돈까스를 넣어주세요.요리집게', '12. 준비한 계란물을 넣어주세요.원 그리듯 둘러서 넣어주시면 따로 저어주지 않아도 자연스럽게 퍼져요.', '13. 계란물 넣고 30초만 더 끓여주세요.', '14. 준비한 밥에 돈까스와 소스를 부어주면 돈까스덮밥 완성 :)완성그릇']","['유아식', '한그릇유아식', '돈까스덮밥', '아기돈까스', '아기돈까스덮밥', '유아식돈까스덮밥', '아기덮밥', '유아식덮밥']"
18,19,밥/죽/떡,일상,육류,끓이기,야채듬뿍 맛있는 자장밥 ,https://www.10000recipe.com/recipe/1646435,"2,992",햇살바람,,,,[],,[],
19,20,밥/죽/떡,일상,육류,끓이기,짜장덮밥 황금레시피 한그릇 점심저녁메뉴 자취생요리,https://www.10000recipe.com/recipe/6985469,636,햇살머금은집,4,20분 이내,아무나,"['짜장 분말가루 1봉', '양파 1개', '호박 1/4개', '고기 1움큼', '새송이버섯 1개', '물 2컵', '밥 ', '식용유 적당량']",맛있게 한그릇 뚝딱 먹을 수 있는 짜장덮밥 만들어 볼께요.,"['1. 맛있고 든든하게 한그릇 뚝딱 먹을 수 있는 짜장덮밥 만들어 볼께요.', '2. 재료를 원하는 사이즈로 깍뚝썰기 해 주세요.그리고 기름을 두른 팬에 고기와 채소를 다 넣고\n양파가 반정도 익음\n물을 2컵 넣어 주세요.', '3. 그리고 거기에 짜장가루 분말을 넣어서 뭉치지 않게 잘 저어가면서\n끓여 주세요.', '4. 그리고 밥 위에 떠내면 완성이랍니다.']","['한그릇요리', '짜장덮밥', '만들기', '황금레시피', '짜장가루요리', '짜장밥', '점심메뉴', '저녁메뉴', '주말점심메뉴']"
20,21,밥/죽/떡,일상,육류,끓이기,양송이 브로콜리 크림소스리조또,https://www.10000recipe.com/recipe/2412120,"14,877",예쁜포비,2,30분 이내,중급,"['쌀 200g', '브로콜리 120g', '양송이 100g', '돼지고기(등심) 150g', '양파 1/4개', '화이트와인 1/2컵', '생크림 1/2컵', '버터 10g', '올리브유 1큰술', '다진마늘 1큰술', '파마산 치즈 약간', '다시마 육수 4컵', '소금 약간', '후춧가루 약간', '맛술 1큰술', '소금 1/4작은술', '후춧가루 1/4작은술']",고기도 풍성하게 넣어 주어서 야채와 고기의 조화를 즐길 수 있는 원푸드 음식이랍니다.,"['1. 돼지고기는 소금, 후춧가루, 맛술로 밑간을 해 주세요. 쌀은 씻어서 물기를 빼서 준비해 주세요.', '2. 브로콜리는 끓는 물에 살짝 데쳐 주세요.', '3. 양송이 버섯은 슬라이스 해서 준비해 주시고 양파는 다져 주세요. 데친 브로콜리는 먹기 좋은 크기로 잘라 주시고 다진 마늘도 준비해 주세요.', '4. 중간불로 달군 팬에 올리브오일과 버터를 넣고 다진 마늘과 양파를 넣고 1-2분간 볶아 주세요. 돼지고기를 넣고 고기 표면이 익을 때까지 볶아 주세요.', '5. 쌀을 넣고 볶다가 육수의 1/2 분량을 넣어 주세요. 팬에 뚜껑을 덮고 쌀을 익혀 주세요. 물기가 없어지면서 뻑뻑해 진 상태가 되면 다시 나머지 육수를 넣고 쌀알을 익혀 주세요. 이 때 육수를 되도록이면 뜨거운 상태로 넣으셔야 리조토 특유의 꼬들꼬들한 쌀알의 맛을 즐기실 수 있답니다.', '6. 육수가 다시 뻑뻑하게 졸아들면 양송이 버섯과 생크림, 화이트와인을 넣고 익혀 주세요. 화이트 와인을 알콜 성분이 다 날아 갈 때까지 끓여 주셔야 술 냄새가 나지 않습니다. 쌀알이 푹 익으면 물기가 완전히 없어 질때까지 조려 주세요. 마지막으로 불을 끄고 데친 브로콜리를 넣고 잘 섞어 주세요.', '7. 마지막으로 파마산 치즈 가루를 뿌려 주세요.']",
21,22,밥/죽/떡,일상,육류,끓이기,하이라이스 만드는법,https://www.10000recipe.com/recipe/6460356,"42,643",에버너스,2,30분 이내,초급,"['양파 ', '당근 ', '감자 ', '돼지고기 ', '하이라이스분말 ', '케첩 2스푼']",간단히 만드는 하이라이스 만드는 법입니다.,"['1. 돼지고기와 함께 양파,당근,감자를 먹기 좋은 크기로 잘라 볶아주었어요.', '2. 야채와 고기를 어느정도 볶다가 물을 붓고 끓여줍니다. 끓는 중 거품은 걷어줘야 좀 더 깔끔한 하이라이스를 맛 볼 수 있어요', '3. 재료가 익으면 하이라이스 가루를 넣고 잘 섞어줍니다.', '4. 마무리는 케쳡 2스푼을 넣어줍니다.']",
22,23,밥/죽/떡,일상,육류,끓이기,홈메이드 짜장밥,https://www.10000recipe.com/recipe/1942097,"28,378",시연맘,3,60분 이내,초급,"['돼지고기 250g', '녹말물 ', '양파 ', '감자 ', '애호박 ', '칵테일새우 ', '춘장 ', '다진마늘 1숟갈', '맛술 1숟갈', '설탕 1/2숟갈', '굴소스 1/2숟갈', '소금 약간', '후추 약간']",카레처럼 쉽게 만들수 있다는 생각으로 홈메이드 짜장밥 도전!,"['1. 등심용 고기를 반만(250g) 사용했어요.', '2. 고기에 밑간을 해주세요.', '3. 짜장에 들어갈 야채를 준비해 주세요. 감자,애호박,양파,양배추도 넣어야 하는데 없어서 생략했어요. 먹기좋게 깍뚝썰기를 해주세요.', '4. 후라이팬에 기름 2큰술 두른후 춘장을 넣고 중간불에서 10분정도 볶아주세요. 춘장양은 3인 기준 350g정도 사용했어요. 볶은후 그릇에 담아 한김 식혀 주세요.', '5. 후라이팬에 기름 살짝 두르고 양념이 잘 배인 돼기고기를 넣고 볶아주세요.', '6. 야채는 단단한 순으로 넣고 볶아주세요. 고기 겉부분이 하얗게 익으면 감자를 넣고 볶아주세요', '7. 감자가 반 이상 익으면 양파를 넣고 또 열심히 볶아주세요.', '8. 그리고 애호박 넣고 볶아주세요.', '9. 야채 익었으면 볶아둔 춘장에 기름은 따라버리고 춘장이랑 저는 칵테일 새우 조금 남았길래 함께 넣었어요.', '10. 춘장이랑 야채들을 잘 섞어가면서 볶다가 물을 넣고 간을 맞춰주세요. 이미 춘장에 간이 되어있어서 특별히 양념을 하지 않아도 되고 너무 짜면 물을 더 넣어가면서 설탕을 살짝 넣어서 간을 맞춰주시면 됩니다.', '11. 간이 맞춰줬으면 녹말물 (녹말1+물1) 넣고 걸쭉하게 농도를 맞춰주시면 돼요.', '12. 따뜻한 밥에 자장 올리고 마무리고 상큼한 오이 채썰어 올리면 근사한 짜장밥이 된답니다.']",
23,24,밥/죽/떡,일상,육류,끓이기,까망까망 짜장밥,https://www.10000recipe.com/recipe/1994334,"36,182",가시장미,4,30분 이내,초급,"['돼지고기 200g', '감자 1개', '당근 1/2개', '양파 1개', '애호박 1/3개', '마늘 3알', '짜장분말 1봉지', '물 3.5컵', '오일 약간']",언제나 사랑받는 맛있는 짜장밥 입니다. 별다른 반찬 없이 김치만 있어도 한끼 식사를 해결할 수 있어요.,"['1. 돼지고기는 미리 청주와 소금, 후춧가루로 간을 해서 10여분 정도 두세요. 야채들은 먹기좋게 잘라주시고 마늘을 다져주세요.', '2. 달구어진 팬에 오일을 조금 두르고, 다진마늘을 넣고 볶아주세요. 마늘의 향이 어느정도 나면 미리 밑간한 돼지고기를 넣고 볶아주세요.', '3. 애호박을 제외한 야채들을 넣고 볶아주세요. 물을 넣어주세요.', '4. 애호박을 넣고 끓여주세요. 끓으면서 올라오는 거품을 걷어냅니다.', '5. 물반컵에 짜장분말을 잘 개어준뒤 부어주세요. 농도가 맞을때까지 끓입니다.', '6. 갓 지어진 맛있는 밥위에 맛있는 까망 짜장을 올려주면 맛있는 짜장밥이 된답니다. 면을 삶아 짜장을 올려주면 짜장면이겠죠???']",
24,25,밥/죽/떡,일상,육류,볶음,훈제오리덮밥 만들기,https://www.10000recipe.com/recipe/6891471,"15,963",서서방,1,10분 이내,아무나,"['훈제오리 200g', '양파 1/2개', '대파 1대', '설탕 1T', '진간장 2T', '다진마늘 1T', '고추가루 1T', '후추 조금']",간단하게 해먹을수 있는 훈제오리덮밥입니다.,"['1. 재료를 준비합니다', '2. 양파를 채썰어줍니다', '3. 대파를 어슷썰어줍니다', '4. 훈제오리를 먹기 좋은 크기로 자릅니다', '5. 센불에서 훈제오를 볶아줍니다', '6. 썰어둔 양파,대파를 넣고 볶아줍니다', '7. 양파가 반정도 익으면 설탕을 넣고 30초정도 볶아줍니다', '8. 간장을 넣고 30초 정도 볶아줍니다', '9. 다진마늘, 고추가루, 후추를 넣고 볶아줍니다', '10. 그릇에 밥을 담고 밥위에 얘쁘게 담아주면 완성입니다']","['덮밥', '훈제오리', '훈제오리덮밥', '간단요리', '자취요리', '건강식']"
25,26,밥/죽/떡,일상,육류,볶음,스팸베이컨볶음밥 한끼 식사로 최고!,https://www.10000recipe.com/recipe/6931044,"4,391",캔캔맘,1,10분 이내,초급,"['밥 1공기', '스팸 3쪽', '베이컨 3장', '대파 1대', '갈릭 허브솔트 톡톡', '달걀 1개']",집에 있는 재료로 한끼 후다닥 만들어 먹기 좋은 볶음밥 이지요. 오늘은 스팸이랑 베이컨 넣고 볶음밥 만들어 봤어요 대파기름향 솔솔 나게 만들어 풍미가 더욱 좋아요. 캔캔맘의 얼렁뚱땅레시피 스팸베이컨볶음밥 만들기 시작해볼께요.,"['1. 스팸은 깍뚝썰기,베이컨은 스팸이랑 같은 크기로 썰기, 대파는 얇게 썰어 줍니다.', '2. 팬에 기름을 두르고 대파를 넣고 볶아 줍니다. \n중불에서 대파기름이 제대로 만들어지게 볶아 주세요.', '3. 대파가 투명해지고 약간 노릇노릇 볶아지면 스팸과 베이컨을 넣고 볶아 줍니다.', '4. 스팸과 베이컨을 노릇노릇 잘 볶아 줍니다. \n대파향이 스팸과 베이컨에 잘 베이도록 골고루 볶아 주세요~', '5. 노릇노릇 잘 볶아 지면 밥을 넣고 볶아 줍니다. \n캔캔맘은 평상시에 압력밥솥에 밥을 해서 1인분씩 소분해서 냉동실에 보관해두고 식사전에 꺼내서 전자렌지에 돌린답니다. \n요래 볶음밥을 할때도 전자렌지에 돌려서 따뜻한 밥을 사용해요. 그리고 볶음밥 할때는 햇반을 돌려서 사용해도 좋아요. 전자레인지', '6. 밥이 잘 퍼지게 볶아 줍니다 .', '7. 허브맛솔트를 톡톡톡 뿌려 줍니다. \n마늘맛이라 풍미를 더 살려 줍니다. 볶음밥에 다진마늘 대신 마늘 허브솔트를 사용했습니다.', '8. 달걀후라이를 만들어요. 볶음밥위에 달걀후라이 하나 올리면 고급지지요.', '9. 스팸베이컨볶음밥을 그릇에 담고 통깨를 휘리릭 뿌려 줍니다. 그 위에 반숙으로 만든 달걀후라이를 얹어 줍니다.']","['스팸', '베이컨', '초간단', '한끼식사']"
26,27,밥/죽/떡,일상,육류,볶음,오리와 더덕을 매콤한 양념에 볶은 더덕오리불고기덮밥,https://www.10000recipe.com/recipe/6976455,"4,132",만개의레시피,2,30분 이내,아무나,"['오리고기 300g', '더덕 100g', '쪽파 2줄', '양파 1/2개', '소금 1/3숟가락', '후추 1/4숟가락', '식용유 약간', '통깨 약간', '참기름 1숟가락', '밥 2공기', '고추장 2숟가락', '고춧가루 1.5숟가락', '간장 1숟가락', '다진마늘 1숟가락', '맛술 1숟가락', '설탕 1숟가락', '후추 약간']","오리와 더덕을 매콤한 양념과 볶아주세요.
더덕향과 건강한 오리고기가 만나
든든한 한끼 완성~","['1. 오리고기에 소금, 후추를 뿌려 밑간한다.', '2. 양파는 채 썰고 쪽파는 4~5cm 길이로 썬다.', '3. 더덕은 껍질을 벗겨 살짝 두드려 펴고 적당한 크기로 찢는다.', '4. 볼에 양념재료를 모두 섞는다.볼미리 만들어두고 숙성시켜 사용하면 좋아요.', '5. 오리고기, 양파, 더덕에 섞어둔 양념장을 넣고 주물러 버무린다.', '6. 달군 팬에 기름을 두르고 버무린 재료를 넣고 볶다가 다 익으면 쪽파를 넣어 볶는다.팬', '7. 밥 위에 더덕오리불고기를 올리고 통깨, 참기름을 뿌려 완성한다.송송 썬 쪽파, 달걀후라이를 올려도 좋아요.']",
27,28,밥/죽/떡,일상,육류,볶음,훈제오리 볶음밥 레시피!,https://www.10000recipe.com/recipe/6974132,"2,566",평범한흔남,2,20분 이내,초급,"['공기밥 2공기', '훈제오리 300g', '대파 1쪽', '양파 1/2개', '굴소스 2T', '통깨 1T', '다진마늘 1T']",훈제오리로 쉽게 만들 수 있는 볶음밥 레시피 입니다.,"['1. 대파 1쪽과 양파 1/2개를 쫑쫑~썰어주세요. \n볶음밥이라서 최대한 잘게 잘라주시는게 좋아요.', '2. 훈제오리 300g도 칼로 최대한 잘게 잘라서 후라이팬에 넣어주세요. \n오리고기에서 기름이 많이 나오니 따로 기름을 두르지 않으셔도 됩니다.', '3. 훈제오리를 넣고 볶을 때 다진마늘 1T 넣어주세요.', '4. 썰어놓은 양파와 대파도 넣어주시구요.\n오리고기 기름이 재료들에 스며들도록 충분히 볶아주세요~', '5. 양파와 대파가 살짝~흐물해진다 싶으면 공기밥 2공기를 넣고 한번 섞어 주세요.', '6. 그리고 나서 가스렌지 불을 최대한 약불로 한 상태에서 굴소스 2T를 넣고 밥 한알 한알에 소스가 배도록 골고루 섞어주세요.', '7. 마지막으로 참깨 1T 넣습니다.', '8. 그러면 완성! 보기 좋게 그릇에 담아 드시면 됩니다.']","['훈제오리볶음밥', '훈제오리볶음밥레시피', '훈제오리요리', '훈제오리볶음밥만들기']"
28,29,밥/죽/떡,일상,육류,볶음,불고기덮밥 만드는 법,https://www.10000recipe.com/recipe/4478351,"30,043",수카,2,30분 이내,초급,"['소고기                                                                                불고기용 ', '양파 1/2개', '식용유 약간', '밥 적당량', '양조간장 3큰술', '설탕 1큰술', '다진마늘 1/2큰술', '후추 약간', '참기름 1/2큰술', '미림 1큰술', '물 1큰술']",달달하고 짭쪼름한 불고기 덮밥입니다.,"['1. 소고기불고기용에 양념을 넣고 양파도 넣어서 약간 재워둡니다. 덮밥용이라 국물을 좀 자작하게 할거라 물도 한큰술 넣고 양파도 넣어줬어요.', '2. 달군 팬에 고기를 넣고 달달 볶아주세요. 물기가 좀 있도록 볶으시려면 불을 약간 낮춰서 하시면 된답니다.', '3. 밥위에 볶은 불고기를 올려주면 되요.']",
